seed,method,sample_id,label,score
0,B1,v2_standard_10001_clear_163,0,0.27815672755241394
0,B1,v2_standard_10001_clear_380,1,0.44926729798316956
0,B1,v2_standard_10001_clear_419,0,0.43558940291404724
0,B1,v2_standard_10001_clear_427,1,0.43677306175231934
0,B1,v2_standard_10001_clear_591,1,0.2857974171638489
0,B1,v2_standard_10001_clear_712,1,0.28596195578575134
0,B1,v2_standard_10001_clear_787,0,0.2713254392147064
0,B1,v2_standard_10001_clear_931,0,0.24956989288330078
0,B1,v2_standard_10001_clear_1059,0,0.23610560595989227
0,B1,v2_standard_10001_clear_1315,0,0.25776246190071106
0,B1,v2_standard_10001_clear_1373,0,0.413860023021698
0,B1,v2_standard_10001_clear_1571,0,0.2892167866230011
0,B1,v2_standard_10001_clear_1612,1,0.2812287509441376
0,B1,v2_standard_10001_clear_1667,1,0.2883262634277344
0,B1,v2_standard_10001_clear_1688,1,0.2556019127368927
0,B1,v2_standard_10001_clear_2339,0,0.27704256772994995
0,B1,v2_standard_10001_clear_2392,0,0.4333038032054901
0,B1,v2_standard_10001_clear_2478,1,0.33133944869041443
0,B1,v2_standard_10001_clear_2892,0,0.3159414231777191
0,B1,v2_standard_10001_clear_3228,1,0.35337793827056885
0,B1,v2_standard_10001_clear_3493,1,0.37507084012031555
0,B1,v2_standard_10001_clear_3555,0,0.2661462724208832
0,B1,v2_standard_10001_clear_3811,0,0.28857624530792236
0,B1,v2_standard_10001_clear_4042,0,0.22822341322898865
0,B1,v2_standard_10001_clear_4067,0,0.2418142706155777
0,B1,v2_standard_10001_clear_4131,0,0.313692569732666
0,B1,v2_standard_10001_clear_4259,0,0.368365615606308
0,B1,v2_standard_10001_clear_4271,1,0.43117663264274597
0,B1,v2_standard_10001_clear_4515,0,0.297946035861969
0,B1,v2_standard_10001_clear_4707,0,0.3837692439556122
0,B1,v2_standard_10001_clear_4963,0,0.3774248957633972
0,B1,v2_standard_10001_clear_5091,0,0.4121198356151581
0,B1,v2_standard_10001_clear_5155,0,0.39690008759498596
0,B1,v2_standard_10001_clear_5411,0,0.3433191478252411
0,B1,v2_standard_10001_clear_5601,0,0.32805129885673523
0,B1,v2_standard_10001_clear_5611,1,0.32503020763397217
0,B1,v2_standard_10002_clear_324,1,0.384902685880661
0,B1,v2_standard_10002_clear_419,0,0.33714762330055237
0,B1,v2_standard_10002_clear_729,1,0.3737373352050781
0,B1,v2_standard_10002_clear_833,1,0.2647448182106018
0,B1,v2_standard_10002_clear_867,0,0.24557411670684814
0,B1,v2_standard_10002_clear_1059,0,0.4102407395839691
0,B1,v2_standard_10002_clear_1554,1,0.3744589686393738
0,B1,v2_standard_10002_clear_2083,0,0.36306169629096985
0,B1,v2_standard_10002_clear_2403,0,0.38546720147132874
0,B1,v2_standard_10002_clear_2531,0,0.35103940963745117
0,B1,v2_standard_10002_clear_2571,0,0.37940120697021484
0,B1,v2_standard_10002_clear_2624,0,0.3121187090873718
0,B1,v2_standard_10002_clear_2900,0,0.3062687814235687
0,B1,v2_standard_10002_clear_2977,0,0.27909204363822937
0,B1,v2_standard_10002_clear_3107,0,0.27407294511795044
0,B1,v2_standard_10002_clear_3112,0,0.3050757348537445
0,B1,v2_standard_10002_clear_3235,0,0.365547776222229
0,B1,v2_standard_10002_clear_3363,0,0.41958531737327576
0,B1,v2_standard_10002_clear_3538,1,0.4035307765007019
0,B1,v2_standard_10002_clear_3555,0,0.3725336790084839
0,B1,v2_standard_10002_clear_3625,0,0.3074282705783844
0,B1,v2_standard_10002_clear_3758,1,0.40051767230033875
0,B1,v2_standard_10002_clear_3875,0,0.3637421131134033
0,B1,v2_standard_10002_clear_4003,0,0.23339788615703583
0,B1,v2_standard_10002_clear_4100,1,0.375893235206604
0,B1,v2_standard_10002_clear_4131,0,0.3787897527217865
0,B1,v2_standard_10002_clear_4323,0,0.4005395770072937
0,B1,v2_standard_10002_clear_4449,1,0.4010489284992218
0,B1,v2_standard_10002_clear_4515,0,0.41330400109291077
0,B1,v2_standard_10002_clear_4621,1,0.46044954657554626
0,B1,v2_standard_10002_clear_4771,0,0.3145228922367096
0,B1,v2_standard_10002_clear_4852,1,0.35294878482818604
0,B1,v2_standard_10002_clear_5334,1,0.2635783851146698
0,B1,v2_standard_10002_clear_5411,0,0.24669864773750305
0,B1,v2_standard_10002_clear_5433,1,0.367785781621933
0,B1,v2_standard_10002_clear_5731,0,0.31467536091804504
0,B1,v2_standard_10003_clear_163,0,0.4115169048309326
0,B1,v2_standard_10003_clear_227,0,0.30035263299942017
0,B1,v2_standard_10003_clear_291,0,0.3914596438407898
0,B1,v2_standard_10003_clear_355,0,0.42411282658576965
0,B1,v2_standard_10003_clear_547,0,0.24191412329673767
0,B1,v2_standard_10003_clear_671,1,0.42120596766471863
0,B1,v2_standard_10003_clear_860,1,0.23426446318626404
0,B1,v2_standard_10003_clear_923,1,0.31212347745895386
0,B1,v2_standard_10003_clear_931,0,0.29723528027534485
0,B1,v2_standard_10003_clear_983,0,0.4166530668735504
0,B1,v2_standard_10003_clear_1099,1,0.3512537479400635
0,B1,v2_standard_10003_clear_1323,0,0.3347429633140564
0,B1,v2_standard_10003_clear_1418,1,0.4036847949028015
0,B1,v2_standard_10003_clear_1443,0,0.34536105394363403
0,B1,v2_standard_10003_clear_1594,1,0.305828332901001
0,B1,v2_standard_10003_clear_1995,0,0.2611597180366516
0,B1,v2_standard_10003_clear_2019,0,0.25136688351631165
0,B1,v2_standard_10003_clear_2147,0,0.345375657081604
0,B1,v2_standard_10003_clear_2809,0,0.36355260014533997
0,B1,v2_standard_10003_clear_2979,0,0.24333524703979492
0,B1,v2_standard_10003_clear_3171,0,0.24882201850414276
0,B1,v2_standard_10003_clear_3256,1,0.2742379605770111
0,B1,v2_standard_10003_clear_3619,0,0.2213093340396881
0,B1,v2_standard_10003_clear_3747,0,0.2778541147708893
0,B1,v2_standard_10003_clear_3939,0,0.26768434047698975
0,B1,v2_standard_10003_clear_4067,0,0.24383926391601562
0,B1,v2_standard_10003_clear_4260,1,0.4572656452655792
0,B1,v2_standard_10003_clear_4451,0,0.2986451983451843
0,B1,v2_standard_10003_clear_4829,1,0.43816983699798584
0,B1,v2_standard_10003_clear_5086,0,0.21547816693782806
0,B1,v2_standard_10003_clear_5451,1,0.30118289589881897
0,B1,v2_standard_10003_clear_5712,1,0.359280526638031
0,B1,v2_standard_10003_clear_5795,0,0.2614663541316986
0,B1,v2_standard_10003_clear_5840,0,0.267433762550354
0,B1,v2_standard_10003_clear_5859,0,0.254965603351593
0,B1,v2_standard_10003_clear_5962,1,0.3069552481174469
0,B1,v2_standard_10004_clear_349,1,0.2364087551832199
0,B1,v2_standard_10004_clear_419,0,0.2218521386384964
0,B1,v2_standard_10004_clear_611,0,0.22634361684322357
0,B1,v2_standard_10004_clear_676,1,0.2889936864376068
0,B1,v2_standard_10004_clear_788,1,0.3055962026119232
0,B1,v2_standard_10004_clear_808,0,0.2909510135650635
0,B1,v2_standard_10004_clear_867,0,0.23931869864463806
0,B1,v2_standard_10004_clear_967,1,0.4145561158657074
0,B1,v2_standard_10004_clear_1123,0,0.4206312298774719
0,B1,v2_standard_10004_clear_1139,1,0.430531769990921
0,B1,v2_standard_10004_clear_1210,0,0.39439138770103455
0,B1,v2_standard_10004_clear_1443,0,0.25867947936058044
0,B1,v2_standard_10004_clear_1955,0,0.38126039505004883
0,B1,v2_standard_10004_clear_2083,0,0.4011216163635254
0,B1,v2_standard_10004_clear_2418,1,0.3634381592273712
0,B1,v2_standard_10004_clear_2807,0,0.2887021601200104
0,B1,v2_standard_10004_clear_2915,0,0.22454281151294708
0,B1,v2_standard_10004_clear_3427,0,0.3046305775642395
0,B1,v2_standard_10004_clear_3447,1,0.3348506689071655
0,B1,v2_standard_10004_clear_3555,0,0.31555503606796265
0,B1,v2_standard_10004_clear_3743,1,0.34371405839920044
0,B1,v2_standard_10004_clear_4033,1,0.3558950424194336
0,B1,v2_standard_10004_clear_4052,1,0.3214164972305298
0,B1,v2_standard_10004_clear_4131,0,0.2692977488040924
0,B1,v2_standard_10004_clear_4259,0,0.26760298013687134
