split,facility,recording_id,geometry,occupied_bin_fraction,always_empty_bin_fraction,range_saturated_fraction,height_saturated_fraction,empty_frames
train,standard,standard_301,clear,0.08418895348837209,0.0,0.0,0.0,0
train,standard,standard_301,vertical_mid,0.06852906976744186,0.0,0.0,0.0,0
train,standard,standard_301,central_furniture,0.07857267441860465,0.0,0.0,0.0,0
train,standard,standard_302,clear,0.04540406976744186,0.686046511627907,0.0,0.0,0
train,standard,standard_302,vertical_mid,0.015590116279069767,0.686046511627907,0.0,0.0,1
train,standard,standard_302,central_furniture,0.03694767441860465,0.686046511627907,0.0,0.0,0
train,harsh,harsh_301,clear,0.07509593023255814,0.47674418604651164,4.651162790697674e-05,1.4534883720930233e-05,0
train,harsh,harsh_301,vertical_mid,0.027226744186046512,0.47674418604651164,8.720930232558139e-06,0.0003866279069767442,0
train,harsh,harsh_301,central_furniture,0.06538372093023256,0.47674418604651164,2.9069767441860467e-05,2.325581395348837e-05,0
train,harsh,harsh_302,clear,0.07897383720930233,0.5534883720930233,2.0348837209302324e-05,8.720930232558139e-06,0
train,harsh,harsh_302,vertical_mid,0.03516569767441861,0.5534883720930233,2.9069767441860463e-06,0.00021511627906976744,1
train,harsh,harsh_302,central_furniture,0.06150581395348837,0.5534883720930233,1.1627906976744185e-05,2.6162790697674417e-05,0
calibration,standard,standard_401,clear,0.04962209302325581,0.6767441860465117,0.0,0.0,0
calibration,standard,standard_401,vertical_mid,0.016747093023255815,0.6767441860465117,0.0,0.0,2
calibration,standard,standard_401,central_furniture,0.04319476744186047,0.6767441860465117,0.0,0.0,0
calibration,standard,standard_402,clear,0.060526162790697675,0.44883720930232557,0.0,0.0,0
calibration,standard,standard_402,vertical_mid,0.037616279069767444,0.44883720930232557,0.0,0.0,0
calibration,standard,standard_402,central_furniture,0.05325872093023256,0.44883720930232557,0.0,0.0,0
calibration,harsh,harsh_401,clear,0.10261627906976745,0.0,0.0,4.36046511627907e-05,0
calibration,harsh,harsh_401,vertical_mid,0.07155523255813953,0.0,0.0,0.00024709302325581393,0
calibration,harsh,harsh_401,central_furniture,0.09458720930232559,0.0,0.0,5.2325581395348834e-05,0
calibration,harsh,harsh_402,clear,0.09667151162790698,0.39767441860465114,5.813953488372093e-06,1.1627906976744185e-05,0
calibration,harsh,harsh_402,vertical_mid,0.07523255813953489,0.39767441860465114,2.9069767441860463e-06,7.848837209302326e-05,0
calibration,harsh,harsh_402,central_furniture,0.08841860465116279,0.39767441860465114,2.9069767441860463e-06,1.4534883720930233e-05,0
test,standard,standard_501,clear,0.07165116279069768,0.0069767441860465115,0.0,0.0,0
test,standard,standard_501,vertical_mid,0.05484593023255814,0.0069767441860465115,0.0,0.0,1
test,standard,standard_501,central_furniture,0.06525581395348837,0.0069767441860465115,0.0,0.0,0
test,standard,standard_501,vertical_new,0.05167441860465116,0.0069767441860465115,0.0,0.0,2
test,standard,standard_501,horizontal_new,0.04298837209302325,0.0069767441860465115,0.0,0.0,6
test,standard,standard_501,low_new,0.06409883720930233,0.0069767441860465115,0.0,0.0,0
test,standard,standard_501,wide_new,0.05883139534883721,0.0069767441860465115,0.0,0.0,0
test,standard,standard_501,two_new,0.05829360465116279,0.0069767441860465115,0.0,0.0,0
test,standard,standard_502,clear,0.04591860465116279,0.6883720930232559,2.9069767441860463e-06,0.0,0
test,standard,standard_502,vertical_mid,0.01832267441860465,0.6883720930232559,0.0,0.0,1
test,standard,standard_502,central_furniture,0.03479941860465116,0.6883720930232559,2.9069767441860463e-06,0.0,0
test,standard,standard_502,vertical_new,0.015334302325581394,0.6883720930232559,0.0,0.0,4
test,standard,standard_502,horizontal_new,0.013116279069767442,0.6883720930232559,0.0,0.0,4
test,standard,standard_502,low_new,0.03604069767441861,0.6883720930232559,2.9069767441860463e-06,0.0,0
test,standard,standard_502,wide_new,0.025813953488372093,0.6883720930232559,0.0,0.0,0
test,standard,standard_502,two_new,0.026947674418604652,0.6883720930232559,0.0,0.0,0
test,harsh,harsh_501,clear,0.09658430232558139,0.35348837209302325,1.1627906976744185e-05,2.6162790697674417e-05,0
test,harsh,harsh_501,vertical_mid,0.07734883720930233,0.35348837209302325,2.9069767441860463e-06,8.72093023255814e-05,0
test,harsh,harsh_501,central_furniture,0.08898255813953489,0.35348837209302325,1.1627906976744185e-05,2.9069767441860467e-05,0
test,harsh,harsh_501,vertical_new,0.07055813953488373,0.35348837209302325,2.9069767441860463e-06,0.00010174418604651163,0
test,harsh,harsh_501,horizontal_new,0.04672093023255814,0.35348837209302325,0.0,0.00030523255813953487,0
test,harsh,harsh_501,low_new,0.08516279069767442,0.35348837209302325,2.9069767441860463e-06,2.9069767441860467e-05,0
test,harsh,harsh_501,wide_new,0.08152906976744186,0.35348837209302325,5.813953488372093e-06,3.4883720930232556e-05,0
test,harsh,harsh_501,two_new,0.07854941860465116,0.35348837209302325,2.9069767441860463e-06,3.4883720930232556e-05,0
test,harsh,harsh_502,clear,0.07355813953488372,0.6186046511627907,4.069767441860465e-05,2.325581395348837e-05,0
test,harsh,harsh_502,vertical_mid,0.03681976744186047,0.6186046511627907,0.0,0.0001802325581395349,0
test,harsh,harsh_502,central_furniture,0.061625,0.6186046511627907,2.6162790697674417e-05,3.197674418604651e-05,0
test,harsh,harsh_502,vertical_new,0.03367151162790698,0.6186046511627907,0.0,0.00018604651162790697,2
test,harsh,harsh_502,horizontal_new,0.019619186046511628,0.6186046511627907,5.813953488372093e-06,0.0003372093023255814,1
test,harsh,harsh_502,low_new,0.062020348837209305,0.6186046511627907,3.7790697674418606e-05,2.6162790697674417e-05,0
test,harsh,harsh_502,wide_new,0.05245348837209302,0.6186046511627907,8.720930232558139e-06,4.651162790697674e-05,0
test,harsh,harsh_502,two_new,0.051651162790697674,0.6186046511627907,1.4534883720930233e-05,3.7790697674418606e-05,0
